ID,Cv
mp-8291,169.0706211837831
mp-13660,163.29229011376526
mp-555874,182.1099157030184
mp-7906,151.5605419779979
mp-8751,137.2130399925254
mp-2068,158.76527951916026
mp-7752,117.76788258702308
mp-8277,117.60167903430232
mp-998603,246.5843876947877
mp-11918,154.5810514733746
mp-14039,210.27729841745185
mp-23804,105.35716308085428
mp-29751,243.59537380192825
mp-7421,143.77366236882446
mp-14285,242.12491506908128
mp-4047,182.53027967208132
mp-552547,222.091592416385
mp-28797,52.85301601748627
mp-28873,102.07447817291268
mp-24424,115.8470005179052
mp-35015,192.83928554129145
mp-487,198.21252781602084
mp-754326,82.01690727497893
mp-30988,175.80587260611597
mp-4651,201.42333681148656
mp-5072,113.13023946068198
mp-541989,93.40219830909436
mp-6686,205.0664169143702
mp-13903,169.33572693471723
mp-551835,238.3696442751641
mp-643257,107.04022889312242
mp-866141,84.76986617213889
mp-989562,231.6011626594424
mp-13031,45.99628587996429
mp-2201,49.116344092227
mp-571461,169.71707581921805
mp-6459,156.04578747974526
mp-9262,194.68105603424164
mp-5122,274.36399337899775
mp-545544,214.66169542701377
mp-568544,121.19884564214708
mp-22951,144.20696629481762
mp-4763,167.40363197416912
mp-9915,119.38114358022766
mp-588,164.47432810476852
mp-9664,266.02984394518177
mp-10572,128.53818769026682
mp-11713,138.95524135396968
mp-5518,190.4365779753744
mp-9244,79.75340010545251
mp-9382,82.88074350210914
mp-2979,285.9812532754848
mp-30004,166.74571418969987
mp-3813,161.8873794636737
mp-505297,69.84553292113576
mp-8098,194.4629166208336
mp-961648,55.615394337827645
mp-998612,242.4365807995411
mp-15704,102.32274532216888
mp-553281,213.0607685265432
mp-28554,95.89371045355917
mp-23231,49.21232365533032
mp-9321,163.58395901390026
mp-1009792,36.085398284019874
mp-10223,231.1762962485389
mp-23465,216.65381671278524
mp-27193,104.60484511510371
mp-569028,217.3815952672749
mp-8789,160.9542397604518
mp-8882,87.31353187966397
mp-1008786,47.99698336181812
mp-13277,136.83137337603716
mp-23956,108.55998376604472
mp-10044,34.27580888134891
mp-12779,97.42698233679066
mp-15556,235.59152327831004
mp-27255,228.15542915106465
mp-28243,186.40053412975445
mp-2853,40.405349795393306
mp-29138,192.55358903187505
mp-5479,121.3171753605132
mp-2064,48.21680889713522
mp-22313,104.1425912538154
mp-8217,193.08694691249795
mp-978852,79.98769323142649
mp-19799,176.50216896906267
mp-570256,172.10411992725722
mp-573697,49.21564014582268
mp-690785,116.02654666613124
mp-997041,157.3000230439116
mp-9636,168.59969371397182
mp-23295,49.0085555830813
mp-38970,240.5344163379261
mp-754117,129.30741418540757
mp-8279,118.16125320215907
mp-9385,145.5955731505246
mp-9856,289.8487083561515
mp-1968,107.84386333112602
mp-9361,95.2721747056158
mp-9567,119.36610642704076
mp-972937,143.43947451017223
mp-1009820,36.886494894573225
mp-23353,171.11912894874376
mp-3486,146.299195975122
mp-4782,170.07120417062214
mp-961683,50.8591779604431
mp-999498,40.76429401091469
mp-14006,166.51009354744676
mp-9564,115.9610343535696
mp-9692,287.9183275833625
mp-989635,183.753546694603
mp-12444,185.1244000784548
mp-22916,48.593687929330464
mp-28266,126.30333814467348
mp-7581,68.52575354437056
mp-23067,210.07052645337708
mp-15777,168.2942308609817
mp-23120,238.4864135741828
