ID,poly_electronic
mp-1029267,10.771179999999996
mp-1102830,8.611906333333332
mp-14058,2.404913666666687
mp-15748,4.759962666666667
mp-30321,2.7425136666666723
mp-39144,4.049931666666668
mp-557209,4.540481000000001
mp-567279,2.819333333333333
mp-626068,6.421065333333334
mp-691106,5.00424933333331
mp-700,13.913282333333337
mp-733610,2.4606666666666666
mp-756591,4.995230333333333
mp-761269,480.1318689228203
mp-7899,5.2781443333333335
mp-8291,2.594818999999993
mp-1029655,15.511038999999984
mp-1029932,9.716212333333331
mp-1087549,5.037755333333334
mp-1181768,3.16514
mp-1207082,9.179493000000006
mp-1216330,6.397283666666667
mp-13660,9.138592666666648
mp-137,39.36988733333333
mp-14827,5.052700000000001
mp-17400,6.236725666666666
mp-18914,2.627244666666666
mp-22186,7.389160999999965
mp-22949,6.4176760000000215
mp-23672,2.3597386666666664
mp-30040,267.1675810000001
mp-33508,5.1950270000000005
mp-34381,2.8980526666666666
mp-3532,15.19546533333333
mp-4117,2.494229666666651
mp-4929,1.7983333333333331
mp-5449,5.305844000000014
mp-555874,8.531678
mp-561647,2.414751333333321
mp-5920,16.564550000000036
mp-643776,2.834534666666667
mp-754357,2.745471838069028
mp-755149,7.0628693333333326
mp-758949,3.398448333333333
mp-776470,9.723034666666663
mp-7906,5.703747333333333
mp-866473,4.366590333333334
mp-8751,3.765400333333334
mp-998567,3.62930233333288
mp-1029656,4.383285666666667
mp-10748,6.060192999999999
mp-1080232,3.223035666128741
mp-1095291,5.716168333333364
mp-1191240,2.969474333333333
mp-1213703,2.585042000000018
mp-18786,125.79579166666667
mp-19443,6.966999999999999
mp-19885,6.958184
mp-2068,8.605000000104065
mp-23273,8.418999999999999
mp-24509,2.993354333333333
mp-27031,3.905658
mp-27186,3.3015233333331997
mp-28486,6.536616666666653
mp-504952,7.170346333333348
mp-625054,2.906683333333333
mp-672186,3.69
mp-753654,3.4636493333333327
mp-755558,3.9624664394846074
mp-7752,9.843999999999996
mp-8271,2.818722666666647
mp-8277,12.031000000000152
mp-998603,3.832423696114624
mp-1025185,2.516719333333333
mp-11918,5.306685666666676
mp-1209338,2.388212333333333
mp-1213646,5.48874333333278
mp-1227372,27.832614999999997
mp-13682,10.900333333333336
mp-1541018,4.13789102053365
mp-19149,7.029371000000025
mp-23711,4.053999999999999
mp-23804,5.498244333333356
mp-27373,3.657578
mp-29397,23.567999999999994
mp-29751,3.505820666666683
mp-30957,2.765071666666666
mp-35311,2.9498076666666755
mp-39823,2.157436
mp-5001,3.77224
mp-557465,2.3626666666666662
mp-558891,2.26100000000002
mp-567836,4.430383385453955
mp-7421,34.678117666666644
mp-753316,3.846949
mp-756570,3.7883116666666656
mp-757889,2.4332863333333337
mp-1021484,81.5357874226677
mp-1029869,5.161074
mp-1069771,6.717928999999998
mp-1207410,9.175386973389378
mp-13308,35.19003400000006
mp-14285,24.938666666666663
mp-4047,1.9659000000000049
mp-560030,2.240871
mp-626800,2.8290833333333336
mp-643412,2.987757999998881
mp-675180,10.149679999999966
mp-753340,2.1404909999999995
mp-8388,4.461185000223811
mp-971712,6.027357666666667
mp-9910,6.632528999999946
mp-1008867,1.0
mp-11000,3.1532916666666666
mp-11115,8.877667333333333
mp-1216058,6.813244666666667
mp-13230,1.974208
mp-14336,7.8777449999999805
mp-14638,2.1694050000000167
mp-16737,2.465978666666661
mp-224,9.254000000012654
mp-23083,3.830226999999965
mp-28741,7.588729000000001
mp-28797,8.83569133333333
mp-28873,2.683541666666667
mp-540633,3.404168333333326
mp-557997,3.4449436666666657
mp-754625,7.146666666666666
mp-755891,2.4316496666666665
mp-756494,2.750597333333333
mp-757130,2.8108616666666664
mp-758755,2.507207000000004
mp-763318,4.826416999999999
mp-1029834,6.299295
mp-1188466,6.488266666666667
mp-12178,12.132980333333323
mp-15221,4.13901733333326
mp-18918,5.131571000000001
mp-22598,4.901521666666658
mp-24424,3.893015333333333
mp-26783,2.652786
mp-28123,1.8169833333333127
mp-33882,9.27120366666667
mp-35015,23.318391580422915
mp-3777,5.3270133333333325
mp-487,19.47233333333334
mp-554108,2.575047
mp-557912,2.200034666666634
mp-604119,2.200763333333333
mp-675488,4.309483666666648
mp-677467,3.1621599999999863
mp-7038,25.840666666666724
mp-754326,6.078987333333334
mp-755522,4.346652333333334
mp-760364,4.924049999999998
mp-760402,9.31246
mp-774361,2.151682999999999
mp-8686,5.357672999999999
mp-989606,6.349329999999999
mvc-3271,4.815937739426038
mp-1018766,12.80717284243647
mp-1095485,2.954823
mp-1206528,2.3990386666666663
mp-22964,4.520783000000001
mp-23705,3.3242596666666664
mp-2418,13.417999999999996
mp-27171,6.271991999999977
mp-27824,3.092666666666666
mp-28205,3.1288296666666766
mp-29172,2.306
mp-29364,3.263622
mp-29520,7.192373
mp-30988,4.120368333333359
mp-31408,2.694666666665672
mp-4651,6.441914333333337
mp-5072,3.017213333333276
mp-541989,2.705321333333346
mp-558149,1.625
mp-569857,4.739333333346456
mp-625378,2.088995333333333
mp-673126,3.067879666666667
mp-768863,3.5824216666666637
mp-771705,4.544779
mp-7914,3.8405753333333608
mp-9781,3.723378333333333
mvc-3677,2.3565169100630468
mp-1219458,27.247707999999992
mp-13903,2.3259639999999813
mp-1541564,2.556871
mp-15733,3.927619000000027
mp-18670,15.517
mp-22963,3.540559666666667
mp-23126,4.144521666666633
mp-23267,2.307000000020893
mp-23887,2.3229999999903983
mp-2739,5.621335000000001
mp-27854,2.659106
mp-2833,16.558066999999998
mp-30252,15.790000000000118
mp-35269,9.370382666666666
mp-3677,4.3721646666666665
mp-510620,2.778307000000042
mp-551835,3.8493266444553953
mp-554495,3.2426133333333333
mp-556961,2.14254
mp-557343,3.246142666666667
mp-559864,19.462190666666668
mp-561291,2.2782153333333333
mp-573373,3.062333333354367
mp-625576,3.469356
mp-626000,2.354181
mp-634410,2.705270230945988
mp-643257,2.809935999999999
mp-644264,4.860597999999999
mp-757074,3.5063480000000005
mp-8203,6.053146666666668
mp-866141,38.312301044557536
mp-8994,2.59827966666669
mp-9410,5.098429666666661
mp-989178,3.9224263333333353
mp-989562,2.5514819999999987
mp-1029349,7.1028563333333326
mp-1029504,6.713925
mp-1207213,2.818482333333153
mp-1216682,4.695088347952045
mp-12535,4.888480999999988
mp-13031,4.653836000000008
mp-15492,5.568321333333336
mp-19034,3.7644656666653
mp-19276,3.4871533429453905
mp-2201,19.714315000000056
mp-22877,3.91966666666667
mp-27546,3.0185086666666656
mp-4174,18.65580500000004
mp-554105,7.001348999999999
mp-555018,3.526281666666666
mp-559313,2.041
mp-559500,3.252111333333321
mp-560614,2.1951809999999994
mp-571461,5.108669666666676
mp-6459,2.751719333333309
mp-705516,5.179568000000001
mp-753821,4.28963
mp-755051,4.6061423333333344
mp-757199,6.9134590000000005
mp-768502,4.475567333333333
mp-772232,2.749582333333333
mp-867507,40.29237000000007
mp-9010,4.158439666666669
mp-9262,2.228537000000014
mp-9854,13.21866666666667
mp-1105095,10.521849
mp-1106156,6.062610000000016
mp-1216121,4.786587666666727
mp-13336,10.740740666666674
mp-22328,3.078048333333333
mp-23499,2.756673000000008
mp-27579,2.291444333333333
mp-27755,2.3503333333333334
mp-29842,2.3768686666666663
mp-30905,4.522420333333333
mp-31250,4.5188250000000005
mp-32539,3.95598
mp-5122,6.548768016276476
mp-545544,5.592117333333323
mp-546787,2.212752666666667
mp-560088,2.2814503333333334
mp-568544,3.407687999999999
mp-569766,9.827347301018618
mp-752974,3.486725666666667
mp-753611,2.0396666666666667
mp-754056,4.051518666666667
mp-755622,4.670822333333312
mp-755689,2.9388326666666664
mp-756138,4.365338001187549
mp-757971,3.846223333333333
mp-761124,3.176312
mp-763784,2.581452
mp-8666,3.724052333333333
mp-9919,18.556789
mp-998569,3.5620636666666603
mp-1025315,8.171595666666667
mp-11023,7.153651666666704
mp-13313,9.851711999999967
mp-14363,2.636356333333333
mp-17577,6.7425389999999545
mp-18498,4.861333333335759
mp-22951,3.649333333333333
mp-23177,5.370333333371342
mp-29756,2.364608666666667
